Id,District Name,Neighborhood Name,Street,Year,Month,Weekday,Part of the day
2017S001400    ,Sarrià-Sant Gervasi,les Tres Torres,GANDUXER / Rda General Mitre                      ,2017,February,Monday,Morning
2017S001403    ,Eixample,la Nova Esquerra de l'Eixample,AV ROMA / Llança                                  ,2017,February,Monday,Morning
2017S001402    ,Sants-Montjuïc,Sants - Badal,PAVIA / Rier Blanca                               ,2017,February,Monday,Morning
2017S001401    ,Eixample,la Sagrada Família,PADILLA                                           ,2017,February,Monday,Morning
2017S001404    ,Eixample,l'Antiga Esquerra de l'Eixample,CÒRSEGA                                           ,2017,February,Monday,Morning
2017S001405    ,Eixample,la Dreta de l'Eixample,VALÈNCIA / Rbla Catalunya                         ,2017,February,Monday,Morning
2017S001406    ,Eixample,Sant Antoni,COMTE D'URGELL / Tamarit                          ,2017,February,Monday,Morning
2017S001407    ,Eixample,la Dreta de l'Eixample,RDA SANT PERE                                     ,2017,February,Monday,Afternoon
2017S001413    ,Les Corts,Pedralbes,AV PEDRALBES / Dulcet                             ,2017,February,Monday,Afternoon
2017S001410    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,ALFONS XII / Via Augusta                          ,2017,February,Monday,Afternoon
2017S001408    ,Sant Martí,el Parc i la Llacuna del Poblenou,PERE IV                                           ,2017,February,Monday,Afternoon
2017S001414    ,Sants-Montjuïc,la Bordeta,PL ILDEFONS CERDÀ                                 ,2017,February,Monday,Afternoon
2017S001411    ,Horta-Guinardó,Can Baró,CTRA CARMEL                                       ,2017,February,Monday,Afternoon
2017S001409    ,Eixample,la Sagrada Família,PROVENÇA / Castillejos                            ,2017,February,Monday,Afternoon
2017S001412    ,Sant Martí,el Poblenou,CARMEN AMAYA / Bisbe J Climent                    ,2017,February,Monday,Afternoon
2017S001415    ,Nou Barris,les Roquetes,RDA DALT(LLOBREGAT                                ,2017,February,Monday,Afternoon
2017S001417    ,Horta-Guinardó,Sant Genís dels Agudells,CTRA SANT CUGAT                                   ,2017,February,Monday,Afternoon
2017S001416    ,Sant Andreu,el Bon Pastor,SANTANDER                                         ,2017,February,Monday,Afternoon
2017S001418    ,Sant Martí,el Parc i la Llacuna del Poblenou,PG TAULAT                                         ,2017,February,Monday,Afternoon
2017S001419    ,Sants-Montjuïc,el Poble-sec,AV PARAL·LEL / Sant Pau                           ,2017,February,Monday,Afternoon
